gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	Afferent/Efferent Endothelial	B Cells	CCD_IC	CCD_PC	CNT	Cd4 T Cells	Cd8 T Cells	DCT	Dendritic Cells	Endothelial	Fibroblast	Glomerular Endothelial	IMCD_IC	IMCD_PC	LOH_ATL	LOH_CTAL	LOH_DTL1	LOH_DTL2	LOH_DTL3	LOH_MTAL	Macrophages	Mesangial Cells	Monocytes	NK Cells	OMCD_IC	OMCD_PC	PTS1	PTS2	PTS3	Parietal Endothelial	Pericytes	Podocyte	Satellite Glia	Schwann Cells	Sensory Neurons	Spinal Endothelial	Sympathetic Neurons	VSMC
CCL8	P80075	False	CCL8_HUMAN		CPI-SS087054090	0.0	0.006	0.0	0.003	0.0	0.002	0.009	0.001	0.002	0.004	0.009	0.0	0.002	0.002	0.006	0.003	0.0	0.002	0.004	0.001	0.218	0.0	0.005	0.0	0.0	0.005	0.001	0.003	0.005	0.0	0.009	0.0	0.001	0.0	0.0	0.0	0.0	0.002
CCL17	Q92583	False	CCL17_HUMAN		CPI-SS0EDD38B58	0.0	0.0	0.0	0.0	0.005	0.001	0.0	0.005	0.039	0.0	0.021	0.001	0.0	0.003	0.003	0.002	0.0	0.001	0.003	0.0	0.0	0.014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0
CCL22	O00626	False	CCL22_HUMAN		CPI-SS052B38F1C	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.038	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.001	0.001	0.0	0.0	0.0	0.0	0.0
CCL5	P13501	False	CCL5_HUMAN		CPI-SS0EA05941A	0.014	0.035	0.015	0.047	0.022	1.201	2.762	0.024	0.093	0.025	0.016	0.014	0.026	0.022	0.01	0.035	0.029	0.017	0.008	0.023	0.067	0.007	0.066	4.606	0.006	0.041	0.029	0.023	0.025	0.132	0.044	0.009	0.0	0.0	0.0	0.001	0.0	0.022
CCL21	O00585	False	CCL21_HUMAN		CPI-SS0ECD9BB5E	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CCL25	O15444	False	CCL25_HUMAN		CPI-SS0CCD89E02	0.02	0.026	0.048	0.038	0.035	0.032	0.033	0.077	0.039	0.041	0.036	0.011	0.049	0.056	0.033	0.03	0.036	0.057	0.021	0.032	0.029	0.017	0.037	0.049	0.014	0.033	0.055	0.076	0.066	0.016	0.041	0.007	0.007	0.01	0.009	0.007	0.015	0.02
CXCL13	O43927	False	CXL13_HUMAN		CPI-SS083B5EBAB	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.405	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014	0.0	0.011	0.0	0.001	0.0	0.0	0.0	0.009
RARRES2	Q99969	False	RARR2_HUMAN		CPI-SS09EB0DFB1	0.026	0.003	0.0	0.0	0.003	0.001	0.005	0.012	0.005	0.004	0.0	0.014	0.0	0.0	0.0	0.063	0.131	0.001	0.0	0.049	0.005	0.753	0.009	0.01	0.0	0.0	0.033	0.073	0.037	0.25	1.13	0.083	1.726	0.227	0.037	0.024	0.087	1.076
CCL21	O00585	False	CCL21_HUMAN		CPI-SS06C0074BD	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CCL2	P13500	False	CCL2_HUMAN		CPI-SS0DBFB8BEA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.003	0.0	0.002	0.0	0.0	0.0	0.001	0.036	0.0	0.003	0.001	0.019	0.024	0.01	0.0	0.0	0.002	0.001	0.001	0.0	0.022	0.0	0.002	0.011	0.002	0.021	0.0	0.032	0.0
CCL5	P13501	False	CCL5_HUMAN		CPI-SS05B7D3407	0.014	0.035	0.015	0.047	0.022	1.201	2.762	0.024	0.093	0.025	0.016	0.014	0.026	0.022	0.01	0.035	0.029	0.017	0.008	0.023	0.067	0.007	0.066	4.606	0.006	0.041	0.029	0.023	0.025	0.132	0.044	0.009	0.0	0.0	0.0	0.001	0.0	0.022
CXCL1	P09341	False	GROA_HUMAN		CPI-SS052BBD9F9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CCL20	P78556	False	CCL20_HUMAN		CPI-SS0079E2156	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CCL25	O15444	False	CCL25_HUMAN		CPI-SS039863E62	0.02	0.026	0.048	0.038	0.035	0.032	0.033	0.077	0.039	0.041	0.036	0.011	0.049	0.056	0.033	0.03	0.036	0.057	0.021	0.032	0.029	0.017	0.037	0.049	0.014	0.033	0.055	0.076	0.066	0.016	0.041	0.007	0.007	0.01	0.009	0.007	0.015	0.02
CCL27	Q9Y4X3	False	CCL27_HUMAN		CPI-SS0BFCF6B11	0.005	0.011	0.161	0.135	0.111	0.015	0.016	0.137	0.014	0.027	0.095	0.002	0.124	0.142	0.144	0.166	0.186	0.17	0.11	0.135	0.022	0.01	0.011	0.047	0.227	0.108	0.056	0.063	0.036	0.031	0.125	0.03	0.069	0.054	0.126	0.008	0.146	0.091
CCL28	Q9NRJ3	False	CCL28_HUMAN		CPI-SS0BCCA6596	0.001	0.0	0.003	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.002	0.002	0.002	0.001	0.003	0.002	0.003	0.001	0.0	0.0	0.0	0.0	0.0	0.001	0.001	0.018	0.019	0.002	0.0	0.001	0.0	0.0	0.002	0.0	0.005	0.0
CCL3	P10147	False	CCL3_HUMAN		CPI-SS0C090A257	0.004	0.003	0.0	0.004	0.005	0.009	0.064	0.004	0.003	0.002	0.004	0.01	0.0	0.002	0.001	0.001	0.013	0.0	0.0	0.005	0.146	0.008	0.163	0.256	0.0	0.001	0.002	0.009	0.002	0.01	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.012
CCL4	P13236	False	CCL4_HUMAN		CPI-SS0D1D95883	0.003	0.009	0.004	0.007	0.005	0.031	0.254	0.008	0.006	0.007	0.0	0.01	0.009	0.002	0.004	0.012	0.001	0.003	0.0	0.003	0.438	0.009	0.095	0.488	0.01	0.005	0.009	0.014	0.004	0.018	0.003	0.009	0.0	0.0	0.0	0.0	0.0	0.005
CCL5	P13501	False	CCL5_HUMAN		CPI-SS0B01D306C	0.014	0.035	0.015	0.047	0.022	1.201	2.762	0.024	0.093	0.025	0.016	0.014	0.026	0.022	0.01	0.035	0.029	0.017	0.008	0.023	0.067	0.007	0.066	4.606	0.006	0.041	0.029	0.023	0.025	0.132	0.044	0.009	0.0	0.0	0.0	0.001	0.0	0.022
CCL7	P80098	False	CCL7_HUMAN		CPI-SS09C16258E	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.003	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.0	0.0	0.001	0.002	0.003	0.0	0.0	0.0
CCL8	P80075	False	CCL8_HUMAN		CPI-SS0C30EC0DE	0.0	0.006	0.0	0.003	0.0	0.002	0.009	0.001	0.002	0.004	0.009	0.0	0.002	0.002	0.006	0.003	0.0	0.002	0.004	0.001	0.218	0.0	0.005	0.0	0.0	0.005	0.001	0.003	0.005	0.0	0.009	0.0	0.001	0.0	0.0	0.0	0.0	0.002
CCL5	P13501	False	CCL5_HUMAN		CPI-SS0BDA6DD92	0.014	0.035	0.015	0.047	0.022	1.201	2.762	0.024	0.093	0.025	0.016	0.014	0.026	0.022	0.01	0.035	0.029	0.017	0.008	0.023	0.067	0.007	0.066	4.606	0.006	0.041	0.029	0.023	0.025	0.132	0.044	0.009	0.0	0.0	0.0	0.001	0.0	0.022
ALCAM	Q13740	False	CD166_HUMAN		CPI-SS04256AA73	0.036	0.064	0.358	0.04	0.065	0.016	0.014	0.005	0.404	0.012	0.389	0.038	0.698	0.435	0.386	0.01	0.186	0.053	0.289	0.005	0.163	0.22	0.127	0.0	0.665	0.062	0.012	0.022	0.05	0.182	0.026	0.722	0.182	0.028	0.47	0.003	0.646	0.089
CD226	Q15762	False	CD226_HUMAN		CPI-SS06207F70E	0.0	0.001	0.0	0.0	0.0	0.263	0.223	0.0	0.037	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.001	0.001	0.001	0.0	0.011	0.154	0.0	0.001	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CD24	P25063	False	CD24_HUMAN		CPI-SS038E5B8D9	1.763	0.741	0.035	1.1	0.944	0.036	0.051	0.356	0.24	0.714	0.261	2.989	0.57	1.957	1.259	0.799	0.439	1.439	0.828	0.805	0.036	0.267	0.234	0.043	0.363	1.726	0.026	0.027	0.025	1.38	1.238	0.092	0.078	0.215	1.421	0.141	1.909	0.726
CD34	P28906	False	CD34_HUMAN		CPI-SS013E6EBC3	0.998	0.028	0.01	0.029	0.012	0.028	0.05	0.012	0.041	1.529	0.016	1.024	0.017	0.051	0.025	0.02	0.018	0.03	0.042	0.023	0.026	1.407	0.131	0.068	0.025	0.031	0.017	0.015	0.029	0.085	0.031	0.069	0.006	0.002	0.069	1.322	0.008	0.065
PODXL2	Q9NZ53	False	PDXL2_HUMAN		CPI-SS039266778	0.0	0.0	0.009	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.001	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.021	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.033	0.016	0.002	0.012	0.005	0.063	0.008	0.015	0.101
SELPLG	Q14242	False	SELPL_HUMAN		CPI-SS027DD8311	0.0	0.199	0.012	0.019	0.012	1.086	1.213	0.01	1.04	0.01	0.012	0.006	0.013	0.005	0.005	0.009	0.008	0.002	0.003	0.008	0.643	0.002	0.939	1.722	0.009	0.013	0.008	0.012	0.013	0.097	0.01	0.001	0.0	0.0	0.0	0.0	0.003	0.004
CD276	Q5ZPR3	False	CD276_HUMAN		CPI-SS0C724345A	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.007	0.0	0.0	0.0	0.002	0.002	0.0	0.001	0.0	0.0	0.003	0.006	0.001	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.004	0.0	0.021	0.013	0.008	0.004	0.038	0.008
CD34	P28906	False	CD34_HUMAN		CPI-SS00D1CB372	0.998	0.028	0.01	0.029	0.012	0.028	0.05	0.012	0.041	1.529	0.016	1.024	0.017	0.051	0.025	0.02	0.018	0.03	0.042	0.023	0.026	1.407	0.131	0.068	0.025	0.031	0.017	0.015	0.029	0.085	0.031	0.069	0.006	0.002	0.069	1.322	0.008	0.065
PODXL2	Q9NZ53	False	PDXL2_HUMAN		CPI-SS01EBB8D76	0.0	0.0	0.009	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.001	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.021	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.033	0.016	0.002	0.012	0.005	0.063	0.008	0.015	0.101
PODXL	O00592	False	PODXL_HUMAN		CPI-SS08920B6FF	1.665	0.018	0.005	0.03	0.019	0.029	0.035	0.025	0.01	0.718	0.015	1.348	0.017	0.018	0.009	0.026	0.335	0.013	0.001	0.015	0.017	0.519	0.127	0.017	0.011	0.015	0.013	0.016	0.019	0.695	0.034	3.177	0.009	0.005	0.006	0.554	0.003	0.256
SELPLG	Q14242	False	SELPL_HUMAN		CPI-SS0D479FBB7	0.0	0.199	0.012	0.019	0.012	1.086	1.213	0.01	1.04	0.01	0.012	0.006	0.013	0.005	0.005	0.009	0.008	0.002	0.003	0.008	0.643	0.002	0.939	1.722	0.009	0.013	0.008	0.012	0.013	0.097	0.01	0.001	0.0	0.0	0.0	0.0	0.003	0.004
CD40LG	P29965	False	CD40L_HUMAN		CPI-SC0AFB661A4	0.0	0.0	0.0	0.0	0.008	0.195	0.012	0.0	0.0	0.0	0.0	0.0	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FN1	P02751	False	FINC_HUMAN		CPI-SC0149E8473	0.137	0.0	0.0	0.0	0.0	0.001	0.003	0.001	0.002	0.007	0.005	0.003	0.0	0.0	0.0	0.002	0.03	0.001	0.003	0.002	0.001	0.005	0.328	0.0	0.0	0.005	0.001	0.004	0.017	0.035	0.002	0.002	0.002	0.0	0.002	0.101	0.009	0.096
L1CAM	P32004	False	L1CAM_HUMAN		CPI-SC088D2EEF4	0.042	0.016	0.007	0.413	0.318	0.032	0.013	0.049	0.085	0.012	0.203	0.004	0.165	0.442	0.308	0.086	0.083	0.189	0.383	0.112	0.027	0.003	0.098	0.011	0.028	0.541	0.003	0.001	0.0	0.225	0.0	0.006	0.274	0.014	0.597	0.002	0.86	0.0
PLG	P00747	False	PLMN_HUMAN		CPI-SC003C7B6F1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
F2	P00734	False	THRB_HUMAN		CPI-SC0F16EDAB3	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.01	0.0	0.001	0.001	0.0	0.0	0.004	0.0	0.004
THBS1	P07996	False	TSP1_HUMAN		CPI-SC0D085D655	0.026	0.011	0.145	0.247	0.331	0.005	0.006	0.082	0.007	0.012	0.046	0.021	0.026	0.336	0.526	0.089	0.493	0.289	0.506	0.074	0.009	0.072	0.014	0.024	0.024	0.294	0.006	0.005	0.001	0.582	0.027	0.1	0.001	0.0	0.001	0.007	0.015	0.123
VTN	P04004	False	VTNC_HUMAN		CPI-SC0EA162039	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.15	0.0	0.001	0.004	0.003	0.012	0.0	0.011
CD40LG	P29965	False	CD40L_HUMAN		CPI-SC03A4FA18B	0.0	0.0	0.0	0.0	0.008	0.195	0.012	0.0	0.0	0.0	0.0	0.0	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FBN1	P35555	False	FBN1_HUMAN		CPI-SC0ABE9B7D2	0.107	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.008	0.002	0.011	0.0	0.0	0.001	0.0	0.022	0.0	0.0	0.0	0.001	0.14	0.002	0.0	0.0	0.0	0.0	0.001	0.001	0.046	0.03	0.008	0.014	0.037	0.006	0.089	0.005	0.069
FN1	P02751	False	FINC_HUMAN		CPI-SC06C3BA86F	0.137	0.0	0.0	0.0	0.0	0.001	0.003	0.001	0.002	0.007	0.005	0.003	0.0	0.0	0.0	0.002	0.03	0.001	0.003	0.002	0.001	0.005	0.328	0.0	0.0	0.005	0.001	0.004	0.017	0.035	0.002	0.002	0.002	0.0	0.002	0.101	0.009	0.096
L1CAM	P32004	False	L1CAM_HUMAN		CPI-SC02CB6F5A5	0.042	0.016	0.007	0.413	0.318	0.032	0.013	0.049	0.085	0.012	0.203	0.004	0.165	0.442	0.308	0.086	0.083	0.189	0.383	0.112	0.027	0.003	0.098	0.011	0.028	0.541	0.003	0.001	0.0	0.225	0.0	0.006	0.274	0.014	0.597	0.002	0.86	0.0
CD40LG	P29965	False	CD40L_HUMAN		CPI-SS0D9E45677	0.0	0.0	0.0	0.0	0.008	0.195	0.012	0.0	0.0	0.0	0.0	0.0	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CD44	P16070	False	CD44_HUMAN		CPI-SS06F83AE58	0.004	0.081	0.002	0.003	0.0	0.289	0.146	0.001	0.291	0.002	0.01	0.01	0.003	0.002	0.003	0.003	0.012	0.001	0.016	0.002	0.118	0.004	0.654	0.306	0.018	0.006	0.002	0.003	0.003	0.033	0.005	0.003	0.137	0.01	0.372	0.021	0.129	0.008
CEACAM1	P13688	False	CEAM1_HUMAN		CPI-SS0BDC04683	0.289	0.104	0.011	0.003	0.01	0.004	0.004	0.007	0.043	0.165	0.023	0.259	0.051	0.012	0.0	0.021	0.088	0.0	0.0	0.001	0.004	0.046	0.318	0.009	0.024	0.009	0.06	0.037	0.022	0.059	0.015	0.091	0.07	0.065	0.0	0.206	0.005	0.006
PODXL2	Q9NZ53	False	PDXL2_HUMAN		CPI-SS0B111D2F5	0.0	0.0	0.009	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.001	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.021	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.033	0.016	0.002	0.012	0.005	0.063	0.008	0.015	0.101
SELPLG	Q14242	False	SELPL_HUMAN		CPI-SS085C6A191	0.0	0.199	0.012	0.019	0.012	1.086	1.213	0.01	1.04	0.01	0.012	0.006	0.013	0.005	0.005	0.009	0.008	0.002	0.003	0.008	0.643	0.002	0.939	1.722	0.009	0.013	0.008	0.012	0.013	0.097	0.01	0.001	0.0	0.0	0.0	0.0	0.003	0.004
CD47	Q08722	False	CD47_HUMAN		CPI-SC05C71E348	0.916	0.768	0.199	0.412	0.341	0.859	0.711	0.259	0.936	1.185	0.499	1.212	0.246	0.337	0.246	0.245	0.548	0.26	0.173	0.251	0.6	0.672	1.04	1.107	0.223	0.418	0.169	0.185	0.099	0.576	0.386	0.434	0.375	0.657	0.708	0.66	1.893	0.355
CD48	P09326	False	CD48_HUMAN		CPI-SS056FF4363	0.0	0.442	0.004	0.02	0.0	0.562	0.667	0.01	0.806	0.009	0.018	0.002	0.019	0.008	0.005	0.014	0.004	0.004	0.027	0.008	0.856	0.0	0.719	0.938	0.015	0.014	0.013	0.017	0.017	0.021	0.01	0.001	0.0	0.0	0.0	0.0	0.0	0.007
CD70	P32970	False	CD70_HUMAN		CPI-SS01999882C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CD80	P33681	False	CD80_HUMAN		CPI-SS0DC98E54D	0.0	0.001	0.0	0.0	0.0	0.001	0.0	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.012	0.0	0.0	0.0	0.001	0.0	0.0	0.007	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0
CD86	P42081	False	CD86_HUMAN		CPI-SS0452C6098	0.0	0.042	0.002	0.008	0.005	0.018	0.051	0.007	0.093	0.003	0.0	0.002	0.0	0.002	0.001	0.004	0.009	0.002	0.005	0.006	0.427	0.001	0.027	0.022	0.005	0.002	0.003	0.005	0.0	0.0	0.0	0.001	0.0	0.001	0.0	0.0	0.0	0.0
CD80	P33681	False	CD80_HUMAN		CPI-SS08EC6823D	0.0	0.001	0.0	0.0	0.0	0.001	0.0	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.012	0.0	0.0	0.0	0.001	0.0	0.0	0.007	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0
CD86	P42081	False	CD86_HUMAN		CPI-SS0A72C2360	0.0	0.042	0.002	0.008	0.005	0.018	0.051	0.007	0.093	0.003	0.0	0.002	0.0	0.002	0.001	0.004	0.009	0.002	0.005	0.006	0.427	0.001	0.027	0.022	0.005	0.002	0.003	0.005	0.0	0.0	0.0	0.001	0.0	0.001	0.0	0.0	0.0	0.0
CEACAM1	P13688	False	CEAM1_HUMAN		CPI-SS055B305F1	0.289	0.104	0.011	0.003	0.01	0.004	0.004	0.007	0.043	0.165	0.023	0.259	0.051	0.012	0.0	0.021	0.088	0.0	0.0	0.001	0.004	0.046	0.318	0.009	0.024	0.009	0.06	0.037	0.022	0.059	0.015	0.091	0.07	0.065	0.0	0.206	0.005	0.006
ICAM2	P13598	False	ICAM2_HUMAN		CPI-SS0544D2759	1.591	0.309	0.01	0.022	0.033	0.173	0.202	0.019	0.048	1.108	0.026	1.29	0.022	0.023	0.011	0.013	0.035	0.011	0.016	0.025	0.08	0.589	0.175	0.32	0.039	0.016	0.016	0.024	0.021	0.038	0.053	0.037	0.001	0.0	0.001	0.54	0.005	0.037
CLCF1	Q9UBD9	False	CLCF1_HUMAN		CPI-SC08497FAC9	0.056	0.087	0.023	0.006	0.005	0.069	0.062	0.009	0.008	0.023	0.0	0.034	0.009	0.003	0.006	0.009	0.123	0.027	0.005	0.008	0.013	0.051	0.011	0.125	0.006	0.009	0.002	0.002	0.01	0.154	0.0	0.024	0.002	0.002	0.001	0.011	0.0	0.011
CNTF	P26441	False	CNTF_HUMAN		CPI-SC05C95A92C	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.217	0.0	0.048	0.005	0.023	0.0	0.0	0.006	0.0
CNTN1	Q12860	False	CNTN1_HUMAN		CPI-SS0A6FCBF7C	0.001	0.001	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.128	0.042	0.237	0.018	0.603	0.002
DLK1	P80370	False	DLK1_HUMAN		CPI-SS0FC612D4D	0.023	0.0	0.0	0.0	0.0	0.002	0.019	0.001	0.0	0.004	0.0	0.161	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.001	0.018	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.013	0.0	0.021	0.001	0.0	0.0	0.0	0.0	0.009
DLL1	O00548	False	DLL1_HUMAN		CPI-SS04A5D6B6F	0.094	0.001	0.106	0.031	0.012	0.006	0.003	0.001	0.004	0.059	0.242	0.095	0.056	0.034	0.031	0.003	0.021	0.019	0.037	0.002	0.001	0.035	0.006	0.025	0.0	0.029	0.019	0.02	0.028	0.039	0.009	0.012	0.0	0.0	0.001	0.079	0.0	0.003
DLL3	Q9NYJ7	False	DLL3_HUMAN		CPI-SS0E5A6ADB3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.023	0.0	0.009	0.0
DLL4	Q9NR61	False	DLL4_HUMAN		CPI-SS0AFCA0602	0.266	0.005	0.051	0.019	0.0	0.007	0.014	0.004	0.012	0.274	0.005	0.433	0.056	0.012	0.004	0.004	0.004	0.002	0.006	0.001	0.006	0.146	0.027	0.0	0.052	0.004	0.005	0.005	0.0	0.051	0.008	0.025	0.0	0.0	0.0	0.19	0.0	0.022
JAG1	P78504	False	JAG1_HUMAN		CPI-SS052ADA696	0.679	0.002	0.388	0.04	0.024	0.007	0.008	0.018	0.002	0.062	0.136	0.03	0.105	0.023	0.033	0.069	0.193	0.102	0.02	0.075	0.01	0.057	0.014	0.0	0.113	0.086	0.007	0.004	0.01	0.236	0.335	0.01	0.141	0.023	0.013	0.07	0.009	0.474
JAG2	Q9Y219	False	JAG2_HUMAN		CPI-SS0DB3F5A37	0.404	0.002	0.0	0.0	0.0	0.0	0.003	0.002	0.002	0.025	0.071	0.077	0.002	0.004	0.004	0.0	0.0	0.002	0.007	0.0	0.0	0.029	0.002	0.0	0.007	0.001	0.001	0.002	0.0	0.01	0.0	0.006	0.0	0.002	0.024	0.067	0.074	0.0
CNTN1	Q12860	False	CNTN1_HUMAN		CPI-SS029811409	0.001	0.001	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.128	0.042	0.237	0.018	0.603	0.002
DLK1	P80370	False	DLK1_HUMAN		CPI-SS0E1A8414D	0.023	0.0	0.0	0.0	0.0	0.002	0.019	0.001	0.0	0.004	0.0	0.161	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.001	0.018	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.013	0.0	0.021	0.001	0.0	0.0	0.0	0.0	0.009
DLL1	O00548	False	DLL1_HUMAN		CPI-SS0423580E5	0.094	0.001	0.106	0.031	0.012	0.006	0.003	0.001	0.004	0.059	0.242	0.095	0.056	0.034	0.031	0.003	0.021	0.019	0.037	0.002	0.001	0.035	0.006	0.025	0.0	0.029	0.019	0.02	0.028	0.039	0.009	0.012	0.0	0.0	0.001	0.079	0.0	0.003
DLL3	Q9NYJ7	False	DLL3_HUMAN		CPI-SS06BBCAC08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.023	0.0	0.009	0.0
DLL4	Q9NR61	False	DLL4_HUMAN		CPI-SS08E4D6FA9	0.266	0.005	0.051	0.019	0.0	0.007	0.014	0.004	0.012	0.274	0.005	0.433	0.056	0.012	0.004	0.004	0.004	0.002	0.006	0.001	0.006	0.146	0.027	0.0	0.052	0.004	0.005	0.005	0.0	0.051	0.008	0.025	0.0	0.0	0.0	0.19	0.0	0.022
